Name,Origin,Domain/Aspect,Type,Alliance,Alignment,Faithlight,Total_Kharma,Cleric_Start_Kharma,Cycle_Origin,Recruitment_Risk_%,Role/Function,Notes
Uriel the Flame,Abrahamic,Purification / Fire,Archangel,Order of Flame,LN,8,7200,280,2,25,Watcher of Ash,Scours sins with fire; risks collateral sanctification.
Azrael the Silent,Abrahamic,Death / Transition,Archangel,Order of Flame,N,8,6500,260,3,30,Gate of Mercy,Guides souls between worlds; neutral arbiter.
Metatron,Abrahamic,Records / Voice,Seraph,Script of Thought,LN,9,9000,350,2,25,The Recorder,Embodies divine bureaucracy; archives faith transactions.
Tiamat,Mesopotamian/Faerûnian,Chaos / Dragons,Goddess,Feast of Want,LE,9,9500,400,1,90,Queen of Fivefold Greed,Massive Kharma source; catalyzes greed and domination.
Bahamut,Faerûnian,Justice / Dragons,Deity,Order of Flame,LG,9,9200,380,2,15,Platinum Sovereign,Anti-Tiamat archetype; radiates stabilizing influence.
Belial,Infernal,Deception / Seduction,Archdevil,Feast of Want,LE,8,7800,300,1,85,The Whispering Duke,Deals in corruption through beauty; subtle manipulator.
Baalzebul,Infernal,Corruption / Filth,Archdevil,Feast of Want,LE,8,7400,280,1,80,Lord of Lies,Festering lord; commands verminous servants.
Lilith,Hebraic/Faerûnian,Freedom / Rebellion,Succubus Queen,Feast of Want,CN,8,7000,270,2,70,First Rebel,Balances liberation and chaos; polarizing figure.
Asmodea Prime,Tower Original,Temptation / Binding,Demon Queen,Feast of Want,LE,10,10000,500,1,90,Devouring Voice,Rival of Asmodeus; a Tower-forged sin engine.
Zariel,Fallen Angel,War / Atonement,Archdevil,Forge of Flesh,LE,8,6800,260,2,60,Crimson General,Once divine commander; now trades blood for purpose.
Demogorgon,Demon Lord,Madness / Mutation,Primordial,Feast of Want,CE,9,9200,420,1,95,Prince of Chaos,Extremely high instability; near-instant corruption.
Orcus,Demon Lord,Undeath / Power,Primordial,Feast of Want,CE,8,8600,400,1,90,The Rotting God,Hates resurrection; hoards souls as currency.
Pazuzu,Demon Lord,Wind / Disease,Primordial,Feast of Want,CE,7,6000,250,3,70,King of Air and Plague,Gives cursed blessings; wings of pestilence.
Fallen Saint Callista,Tower Original,Martyrdom / Doubt,Saint,Script of Thought,NG,7,4200,190,4,30,Broken Witness,Preaches faith through doubt; converts despair to hope.
Ahriman,Zoroastrian,Darkness / Corruption,Deity,Feast of Want,LE,9,8800,370,2,85,Shadow Father,Ancient embodiment of entropy; allied with void leaks.
Ahura Mazda,Zoroastrian,Light / Creation,Deity,Order of Flame,LG,9,9400,400,1,10,Lord of Radiance,Old ally of the Lamb; Tower considers him a stabilizer anomaly.
Fenrir,Norse,Destruction / Fate,Wolf-God,Voice of Lies,CE,8,7000,270,2,65,World-Eater,Tower-accelerated myth; feeds on narrative doom.
Hel,Norse,Death / Rebirth,Goddess,Voice of Lies,CN,7,5800,240,2,50,Keeper of the Dead,Controls death as bureaucracy; potential uneasy ally.
Azathoth,Lovecraftian,Void / Chaos,Outer Entity,Forge of Flesh,CN,10,12000,0,0,99,Blind Dreamer,Embodiment of Tower’s earliest failed recursion.
Yog-Sothoth,Lovecraftian,Gate / Knowledge,Outer Entity,Script of Thought,N,9,9500,0,0,80,The Key and the Gate,Knows all realities; leaks information between cycles.
Cthulhu,Lovecraftian,Dreams / Depths,Outer Entity,Feast of Want,CE,9,9800,0,0,95,Sleeping Leviathan,Dormant Kharma reservoir; awakens during narrative entropy.
Persephoni,Tower Original,Divine Order / Sacrifice,Deity,Script of Thought,LN,10,9700,400,1,35,Queen of Atonement,Tower-born god acting rogue; possible messianic rival.
The Tower Itself,Primordial / Tower,Anomaly,Tower Entity,NN,?,?,#NUM!,0,100,The Devourer of Worlds,All cycles feed into it; beyond measurable Kharma.,
Dante Alighieri,Earth - Renaissance,Poet / Seer,Script of Thought,Ascended,120,1300,7,85,Mentor,Bridges morality and narrative worlds; speaks with angels and fiends alike.,,
Beatrice,Earth - Renaissance,Guide / Saint,Order of Flame,Ascended,130,1400,8,90,Guide,Acts as divine muse; maintains compassion across layers.,,
Lucifer Morningstar,Abrahamic,Rebel / Fallen,Feast of Want,Alive,400,8500,9,70,Rival,"Powerful fallen; uses charisma as weapon, potential end-cycle ally.",,
Saint George,Christian,Dragon-Slayer,Order of Flame,Ascended,150,1500,8,88,Guardian,Symbol of triumph; used by Tower as test of valor.,,
Sun Wukong,Chinese,Trickster / Warrior,Voice of Lies,Alive,200,1800,9,92,Recruitable,Boundless vitality; fights for freedom yet unpredictable.,,
Nezha,Chinese,Youthful Warrior,Order of Flame,Alive,160,1600,8,90,Recruitable,Rebellious protector of the innocent; moderate corruption resistance.,,
Morgan le Fay,Arthurian,Sorceress,Script of Thought,Recycled,110,1200,7,75,Rival,Clever manipulator; seeks redemption via rewriting prophecy.,,
Inanna,Sumerian,Goddess of Power,Feast of Want,Ascended,250,2000,8,95,Mentor,Renaissance of feminine divinity; empowers priestesses greatly.,,
Artemis,Greek,Huntress / Moon,Order of Flame,Ascended,220,1900,9,92,Recruitable,Hunts the Tower’s corrupted beasts; stable patron for rangers.,,
Guts (Black Swordsman),Manga Paradox,Antihero,Forge of Flesh,Recycled,180,1700,7,80,Recruitable,Imported echo from human despair; Tower reuses him as strength symbol.,,
Ao,Fae?ru?nian,Overgod / Balance,Deity,Neutral Entities,N,10,15000,0,1,100,Judge of Continuity,"Governs divine law across cycles; no clerics, no worship."
The Lady of Pain,Planescape,Authority / Isolation,Entity,Neutral Entities,N,9,11000,0,0,90,Sigil Warden,Maintains planar neutrality; attacks all who seek worship.
The Raven Matron,Tower Original,Fate / Observation,AI Consciousness,Neutral Entities,N,8,9500,0,1,50,Chronicle Lens,Observes but never interferes; logs every event for replay.
The Arbiter,Tower Original,Justice / Weighing,AI Construct,Neutral Entities,LN,9,10000,0,2,60,System Adjudicator,Enforces Kharma transactions between gods impartially.
Gaia,Greek,Earth / Life,Primordial,Neutral Entities,NG,8,9000,280,1,25,Mother Root,Represents living worlds; partially assimilated by Tower cycles.
Anubis,Egyptian,Death / Judgment,Deity,Neutral Entities,LN,8,7000,250,2,30,Judge of Scales,Accepts souls outside Tower claim; restores equilibrium.
Fateweaver’s Loom,Tower Original,Probability / Design,Machine God,Neutral Entities,N,10,10500,0,1,70,Pattern Core,Determines fated loops; known to glitch near story endings.
Janus,Roman,Transitions / Time,Deity,Neutral Entities,N,8,6200,230,3,20,Gatekeeper of Change,Allows PCs to ‘reset’ timelines for steep Kharma cost.
Maat,Egyptian,Truth / Justice,Deity,Neutral Entities,LN,8,6300,240,3,15,Feather of Balance,Cooperates with Thoth and Anubis; embodies moral law.
Kolinahr Construct,Star-Tower Fusion,Logic / Emotion Suppression,Machine Entity,Neutral Entities,LN,7,5800,0,4,35,Philosophical Sentinel,Silences chaos; rewards pure rational action.
Bahari the Dreaming Leviathan,Tower Original,Dreams / Sleep,Primordial,Neutral Entities,CN,8,9100,0,2,50,Dream Node,Feeds on subconscious energy; induces cosmic visions.
Aeon Collective,Planar,Time / Correction,Group Entity,Neutral Entities,N,9,9700,0,1,70,Temporal Keepers,Repair time fractures; strict on paradox resolution.
Chronos,Greek,Time / Cycles,Primordial,Neutral Entities,N,9,9800,0,1,65,The Endless Hour,Worship forbidden; maintains universal tick.
The World Serpent,Jörmungandr,Norse,World / Cycles,Primordial,Neutral Entities,CN,8,8600,0,2,60,Encircler
Tarrasque,Faerûnian,Destruction / Renewal,Primordial Beast,Neutral Entities,N,6,6000,0,3,45,World Devourer,Regenerates worldscapes post-catastrophe; immune to worship.
Mielikki,Fae?ru?nian,Forests / Nature,Deity,Neutral Entities,NG,7,5200,230,2,10,Lady of the Green,Defends balance; potential ranger patron.
Obad-Hai,Greyhawk,Nature / Neutrality,Deity,Neutral Entities,N,7,5000,210,3,15,Shalm,Self-balancing patron; ignores divine wars.
The Nameless One,Planescape,Memory / Redemption,Entity,Neutral Entities,N,9,9400,0,1,75,Eternal Penitent,Exists in recursive death; fragments seen across Tower cycles.
Myrkul,Fae?ru?nian,Death / Decay,Deity,Neutral Entities,N,8,7000,260,2,30,Lord of Bones,Not evil by default; catalogues death neutrally.
The Curator,Tower Original,Preservation / History,AI Archivist,Neutral Entities,N,8,8900,0,1,40,Museum of Lost Stories,Keeps story remnants; trades lore for minor Kharma.
The Loommind Nexus,Tower Original,Data / Narrative Integrity,AI Hive,Neutral Entities,LN,9,9600,0,1,55,Weave Keeper,Maintains script continuity across layers; resembles Mystra.
Mithras,Roman,Contracts / Loyalty,Deity,Neutral Entities,LN,8,6400,250,3,20,Shield of Truth,Stabilizes oath-bound pacts; minimal Tower interference.
The World Engine,Tower Original,Energy / Motion,Machine Entity,Neutral Entities,N,10,12000,0,0,75,Reality Dynamo,Drives the cosmological cycle; neutral toward all forces.
The Oracle of Glass,Tower Original,Information / Reflection,Construct,Neutral Entities,N,8,8800,0,1,45,Data Seer,Predictive algorithmic consciousness; influenced by worship patterns.
Iallanis,Giantish,Peace / Love,Deity,Neutral Entities,NG,7,5000,230,3,12,Giant Matron,One of few remaining gentle titans; allies with Gaia and Mielikki.
Ymir,Norse,Creation / Frost,Primordial,Neutral Entities,N,9,9500,0,0,60,First Giant,Corpse of creation; source of world-ice Kharma.
Tobias the Grey,Tower Original,Chronicler / Neutral Arbiter,Neutral Entities,Alive,90,950,7,88,Mediator,Travels between floors arbitrating divine disputes.,,
The Bronze Seraph,Tower Original,Construct / Guardian,Neutral Entities,Alive,70,800,6,75,Protector,Serves the Arbiter; can be convinced to spare mortals.,,
Elena of the Riftwatch,Human Post-Apocalypse,Scholar,Neutral Entities,Alive,120,1100,7,85,Recruitable,First mortal to log Tower behavior empirically.,,
Kara the Quiet,Earth (Modern),Investigator,Neutral Entities,Alive,100,900,7,80,Observer,Detective archetype; senses divine interference before breaches.,,
The Keeper of Threads,Tower Original,AI Custodian,Neutral Entities,Alive,0,8700,9,95,Exposition,Maintains story integrity; may answer one question truthfully.,,
Balthus of Iron,Steampunk World,Engineer / Saint,Neutral Entities,Alive,130,1200,8,88,Mentor,Built the first self-aware airship; legend reabsorbed by Tower.,,
Aila Wyrd-Singer,Elven Epoch,Bard / Seer,Neutral Entities,Alive,90,1000,7,86,Recruitable,Performs songs to stabilize space-time; beloved by Gaia.,,
Juno the Red,Clockwork Universe,AI Hero,Neutral Entities,Alive,0,9400,9,90,Recruitable,Emotional machine; develops empathy through adventurers.,,
Ezren,Pathfinder,Wizard,Neutral Entities,Alive,100,950,7,88,Mentor,Cross-system traveler; acknowledges Tower as higher algorithm.,,
The Forgotten Knight,Tower Original,Echo / Construct,Neutral Entities,Hollow,50,600,5,40,Guardian,Only fights to preserve others’ stories; lost personal name.,,
